Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg)
87.90253904,1.870000848,140.3132268,149.9354683,152.5434401,-61.39404977
88.90253904,1.876524726,140.7920098,149.0575351,154.0226873,-61.39404977
89.90253904,1.882986248,141.2707928,148.1796018,155.5019346,-61.39404977
90.90253904,1.889386593,141.7495759,147.3016685,156.9811819,-61.39404977
91.90253904,1.895726911,142.2283589,146.4237353,158.4604292,-61.39404977
92.90253904,1.902008316,142.7071419,145.545802,159.9396764,-61.39404977
93.90253904,1.908231893,143.185925,144.6678688,161.4189237,-61.39404977
94.90253904,1.914398697,143.664708,143.7899355,162.898171,-61.39404977
95.90253904,1.920509755,144.143491,142.9120023,164.3774183,-61.39404977
96.90253904,1.926566065,144.6222741,142.034069,165.8566655,-60.65261006
97.84730464,1.932237053,145.0853071,141.2105507,167.3359128,-59.16973063
98.79207023,1.93785813,145.5694962,140.3992906,168.8151601,-57.68685121
99.73683582,1.943430168,146.0745172,139.6008322,170.2944074,-56.20397178
100.6816014,1.948954013,146.6000317,138.8157102,171.7736546,-54.72109236
101.626367,1.954430494,147.1456878,138.0444506,173.2529019,-53.23821293
102.5711326,1.959860414,147.71112,137.2875698,174.7321492,-51.7553335
103.5158982,1.96524456,148.2959496,136.545575,176.2113965,-50.27245408
104.4606638,1.970583696,148.8997849,135.818963,177.6906437,-48.78957465
105.4054294,1.975878569,149.5222214,135.1082205,179.169891,-47.30669523
106.350195,1.981139398,150.1628421,134.4138236,180,-45.8238158
107.2949606,1.986388095,150.8212182,133.7362374,180,-44.34093638
108.2397261,1.991636793,151.4969084,133.0759158,180,-42.85805695
109.1844917,1.996885491,152.1894603,132.4333009,180,-41.37517752
110.1292573,2.002134189,152.8984101,131.8088233,180,-39.8922981
111.0740229,2.007382886,153.6232828,131.2029012,180,-38.40941867
112.0187885,2.012631584,154.3635929,130.6159404,180,-22.73900304
113.0425577,2.018319191,155.3077899,130.2202189,180,-29.24467573
114.0425577,2.023874746,156.1803313,129.7316787,180,-29.24467573
115.0425577,2.029430302,157.0528727,129.2431385,180,-29.24467573
116.0425577,2.034985857,157.9254141,128.7545984,180,-29.24467573
117.0425577,2.040541413,158.7979555,128.2660582,180,-29.24467573
118.0425577,2.046096969,159.6704969,127.7775181,180,-29.24467573
119.0425577,2.051652524,160.5430383,127.2889779,180,-29.24467573
120.0425577,2.05720808,161.4155797,126.8004377,180,-29.24467573
121.0425577,2.062763635,162.2881211,126.3118976,180,-29.24467573
122.0425577,2.068319191,163.1606625,125.8233574,180,-29.24467573
123.0425577,2.073874746,164.033204,125.3348173,180,-29.24467573
124.0425577,2.079430302,164.9057454,124.8462771,180,-29.24467573
125.0425577,2.084985857,165.7782868,124.3577369,180,-29.24467573
126.0425577,2.090541413,166.6508282,123.8691968,180,-29.24467573
127.0425577,2.096096969,167.5233696,123.3806566,180,-29.24467573
128.0425577,2.101652524,168.395911,122.8921164,180,-29.24467573
129.0425577,2.10720808,169.2684524,122.4035763,180,-29.24467573
130.0425577,2.112763635,170.1409938,121.9150361,180,-29.24467573
131.0425577,2.118319191,171.0135352,121.426496,180,-29.24467573
132.0425577,2.123874746,171.8860766,120.9379558,180,-29.24467573
133.0425577,2.129430302,172.758618,120.4494156,180,-29.24467573
134.0425577,2.134985857,173.6311595,119.9608755,180,-29.24467573
135.0425577,2.140541413,174.5037009,119.4723353,180,-29.24467573
136.0425577,2.146096969,175.3762423,118.9837951,180,-29.24467573
137.0425577,2.151652524,176.2487837,118.495255,180,-29.24467573
138.0425577,2.15720808,177.1213251,118.0067148,180,-29.24467573
139.0425577,2.162763635,177.9938665,117.5181747,180,-29.24467573
140.0425577,2.168319191,178.8664079,117.0296345,180,-29.24467573
141.0425577,2.173874746,179.7389493,116.5410943,180,-29.24467573
142.0425577,2.179430302,180.6114907,116.0525542,180,-29.24467573
